STATE/UT, ROBBERY, RIOTS, ARSON, DOWRY DEATH 
ANDHRA PRADESH, 544 ,2261 ,1039 ,546
ARUNACHAL PRADESH, 55, 52, 28, 0
ASSAM ,680 ,1808 ,476 ,170 
BIHAR ,1619 ,8554 ,685 ,1295 
CHHATTISGARH ,554, 957 ,335, 128
GOA ,30, 50, 24 ,3 
GUJARAT ,1420, 1539, 240, 24
HARYANA, 679, 1166 ,153 ,281
HIMACHAL PRADESH ,21 ,591, 124, 1
JAMMU & KASHMIR, 69 ,1472 ,217, 12 
JHARKHAND ,780, 2312, 203, 295 
KARNATAKA ,1825 ,6269 ,293, 264 
KERALA ,830 ,8086, 503, 20 
MADHYA PRADESH ,2270 ,2409, 741,858
MAHARASHTRA, 3314, 8030 ,1105 ,341
MANIPUR, 3 ,48, 81, 0 
MEGHALAYA, 67, 18, 54 ,0
MIZORAM, 4, 1, 24, 0 
NAGALAND ,92, 4, 4, 0 
ORISSA ,1488, 1718, 413, 384
PUNJAB, 171, 8, 101 ,126 
RAJASTHAN, 886, 1145, 556, 436 
SIKKIM, 4, 39, 9 ,0 
TAMIL NADU ,1144 ,2397,580 ,194 
TRIPURA, 77, 178, 62, 29 
UTTAR PRADESH, 2285, 4263, 254, 2232
UTTARAKHAND, 179 ,466 ,17 ,94 
WEST BENGAL, 751, 6700 ,344, 506 
A & N ISLANDS, 11, 11, 12, 1 
CHANDIGARH ,27, 66, 4 ,2 
D & N HAVELI, 2, 53, 5, 0 
DAMAN & DIU ,4 ,29 ,3 ,0 
DELHI ,515 ,57 ,34 ,141 
LAKSHADWEEP, 0 ,44 ,2 ,0 
PUDUCHERRY, 9 ,141, 11, 0 
