STATE/UT, ROBBERY, RIOTS, ARSON, DOWRY DEATH 
ANDHRA PRADESH, 668, 1878, 980, 504
ARUNACHAL PRADESH, 65, 28, 33, 1
ASSAM, 907, 5077, 2830, 140 
BIHAR, 1266, 10871, 799, 1275
CHHATTISGARH, 412, 910, 330, 81
GOA ,25, 122, 34, 0
GUJARAT, 1366, 1758 ,282, 21
HARYANA, 711 ,1424 ,191 ,258
HIMACHAL PRADESH, 10 ,494, 131, 2
JAMMU & KASHMIR, 81 ,1400, 190,8
JHARKHAND, 494, 2331, 136, 302
KARNATAKA,2207 ,7502, 416, 218
KERALA ,725 ,10938 ,568 ,32
MADHYA PRADESH, 1940, 1951, 814 ,743
MAHARASHTRA, 6949,8860 ,1246, 329
MANIPUR, 3 ,72 ,74, 0
MEGHALAYA,46,0, 61 ,1
MIZORAM, 4 ,1 ,12 ,0
NAGALAND, 54 ,3, 7, 0 
ODISHA, 1613, 2205, 469, 525
PUNJAB ,213 ,1 ,74 ,118
RAJASTHAN ,807, 573, 475 ,478
SIKKIM ,6,22, 20, 1
TAMIL NADU ,1898, 3136 ,726 ,110
TRIPURA, 60 ,128, 59 ,37
UTTAR PRADESH, 3159 ,5676, 327, 2244
UTTARAKHAND ,144, 369 ,17, 71
WEST BENGAL, 816, 6611, 396, 593
A & N ISLANDS, 2, 8, 4, 2
CHANDIGARH ,63, 49, 9 ,5
D & N HAVELI ,2, 11, 12, 0
DAMAN & DIU, 3, 9, 11, 0
DELHI ,608 ,79 ,79, 134
LAKSHADWEEP, 0 ,10, 3, 0
PUDUCHERRY ,16, 126, 21, 0
