STATE/UT, ROBBERY, RIOTS, ARSON, DOWRY DEATH 
ANDHRA PRADESH, 596, 2540, 915, 512
ARUNACHAL PRADESH, 45, 65, 19, 0
ASSAM, 505, 3615, 379 ,74
BIHAR ,2986 ,9793 ,707 ,1029
CHHATTISGARH, 363 ,790 ,242 ,71
GOA ,18, 33, 7, 2 
GUJARAT, 1136, 1599, 388, 58
HARYANA ,244, 699 ,95, 251
HIMACHAL PRADESH, 25 ,562, 112 ,8
JAMMU & KASHMIR ,129, 1116, 320, 9
JHARKHAND, 780, 2281, 167, 275
KARNATAKA, 1024, 6237, 248, 259
KERALA,639 ,6461, 374 ,31
MADHYA PRADESH ,1526, 2479, 893, 751
MAHARASHTRA,2229 ,5980, 1149, 314
MANIPUR ,3, 115, 85 ,0
MEGHALAYA, 81, 2,15 ,2
MIZORAM, 6, 2 ,22, 0
NAGALAND ,117 ,6, 5, 0
ORISSA ,952 ,1433, 343 ,319 
PUNJAB, 86, 16, 52, 113
RAJASTHAN, 673, 3101 ,835 ,379
SIKKIM, 5 ,76, 7 ,0 
TAMIL NADU ,464 ,3433 ,662 ,225
TRIPURA ,46, 148 ,24, 20
UTTAR PRADESH, 2606 ,3915, 381, 1708
UTTARANCHAL, 165, 444 ,28 ,82
WEST BENGAL, 535, 2691, 103, 396 
A & N ISLANDS, 3 ,9 ,9 ,0 
CHANDIGARH ,6, 43, 0, 6 
D & N HAVELI, 2, 17, 2 ,0 
DAMAN & DIU, 1, 19, 2, 0 
DELHI ,461, 67, 38, 126 
LAKSHADWEEP, 0, 37, 0, 0 
PONDICHERRY, 1 ,147, 9 ,6
