STATE/UT, ROBBERY, RIOTS, ARSON, DOWRY DEATH 
ANDHRA PRADESH, 709, 1944, 932, 492
ARUNACHAL PRADESH, 75, 36, 23 ,0
ASSAM, 923, 2429, 793, 170
BIHAR, 1521, 11931, 660, 1182
CHHATTISGARH, 351, 786, 328, 109
GOA, 37, 127, 39, 0 
GUJARAT, 1429, 1715, 304 ,29 
HARYANA ,763 ,1560 ,189 ,263 
HIMACHAL PRADESH, 14, 487, 138, 0
JAMMU & KASHMIR, 87, 1714, 221, 7 
JHARKHAND, 568, 2465, 185, 307
KARNATAKA, 2150, 7237, 332, 277 
KERALA, 784, 10042, 479, 21 
MADHYA PRADESH, 1832, 1779, 671, 776
MAHARASHTRA, 9746, 9610, 1197, 320
MANIPUR ,3 ,67 ,38, 0
MEGHALAYA ,68, 13, 127, 2 
MIZORAM ,3 ,1 ,27, 0 
NAGALAND, 49, 11, 9 ,1 
ODISHA, 1678, 1937 ,416, 395
PUNJAB, 141, 0 ,65 ,126 
RAJASTHAN, 1065, 542, 484, 453 
SIKKIM ,6 ,32 ,19 ,0 
TAMIL NADU ,2186, 2701, 645, 118 
TRIPURA, 44 ,123 ,83 ,29 
UTTAR PRADESH ,3591 ,6089, 291, 2335
UTTARAKHAND ,138 ,334, 17, 43
WEST BENGAL ,647, 6142 ,495, 481 
A & N ISLANDS, 1, 0, 2 ,1
CHANDIGARH ,62, 54, 8 ,1
D & N HAVELI, 0, 7, 18, 0 
DAMAN & DIU ,1, 11, 8 ,0 
DELHI, 1245, 113, 97 ,144
LAKSHADWEEP, 0 ,2 ,1 ,0
PUDUCHERRY, 10, 85, 16 ,1
