STATE/UT, ROBBERY, RIOTS, ARSON, DOWRY DEATH 
ANDHRA PRADESH, 679, 2916 ,1012, 519 
ARUNACHAL PRADESH ,74, 6, 20, 1 
ASSAM ,544 ,2684 ,488, 105 
BIHAR ,2169 ,8259, 785 ,1188 
CHHATTISGARH ,439 ,905 ,262,103 
GOA ,17 ,63 ,38 ,0 
GUJARAT, 970, 1534, 321 ,50 
HARYANA, 410, 1142, 156, 255 
HIMACHAL PRADESH, 29, 566, 115, 3 
JAMMU & KASHMIR, 112 ,1197 ,203, 10 
JHARKHAND ,779 ,2650, 178, 281 
KARNATAKA, 1349 ,6183 ,268 ,244 
KERALA ,691, 6365, 435 ,25 
MADHYA PRADESH ,1770, 2308, 815 ,764 
MAHARASHTRA, 2574 ,7453 ,1188,387
MANIPUR, 8 ,60, 109, 0
MEGHALAYA ,65, 7, 28, 6 
MIZORAM ,10, 0, 25 ,0
NAGALAND, 84, 7, 16, 0 
ORISSA ,1184, 1535 ,371 ,457 
PUNJAB ,142 ,3 ,68 ,130 
RAJASTHAN ,631, 1767, 551, 394 
SIKKIM, 9 ,12, 1 ,0 
TAMIL NADU, 450, 1838, 460,187
TRIPURA ,71, 154, 35, 35
UTTAR PRADESH, 2024, 3774 ,299 ,1798
UTTARANCHAL ,157, 489, 39 ,80 
WEST BENGAL ,426, 2385 ,111 ,445
A & N ISLANDS, 5 ,10 ,9 ,0 
CHANDIGARH, 34 ,44 ,5 ,10 
D & N HAVELI, 5, 8, 5 ,1 
DAMAN & DIU, 1 ,24 ,5 ,0 
DELHI ,541 ,87 ,33, 137 
LAKSHADWEEP ,0 ,12, 4 ,0 
PONDICHERRY, 3, 194 ,22 ,3 
