STATE/UT, ROBBERY, RIOTS, ARSON, DOWRY DEATH 
ANDHRA PRADESH ,623, 1930, 1021, 556 
ARUNACHAL PRADESH ,79, 18 ,10, 0 
ASSAM ,568,2600 ,443 ,103 
BIHAR, 1592 ,8099 ,772 ,1210 
CHHATTISGARH ,500, 1144 ,302, 106
GOA ,23 ,102 ,27 ,2 
GUJARAT ,1322, 1809,363, 27 
HARYANA ,555 ,1184 ,139 ,302 
HIMACHAL PRADESH, 20 ,627 ,127 ,3 
JAMMU & KASHMIR ,67 ,1782 ,230 ,21 
JHARKHAND, 761 ,2576, 164, 266 
KARNATAKA,1615 ,6013, 265, 259
KERALA ,816, 8057, 389, 31 
MADHYA PRADESH ,2234, 2768 ,898, 805
MAHARASHTRA, 3031, 9388, 1288, 390
MANIPUR, 7, 48, 41 ,1 
MEGHALAYA ,65 ,8 ,28 ,2 
MIZORAM, 6, 1, 18 ,0 
NAGALAND, 87, 4 ,14, 0
ORISSA, 1345 ,2721, 869, 401 
PUNJAB ,167, 1, 75 ,128
RAJASTHAN ,829, 1390, 615, 439 
SIKKIM ,7, 17, 23, 0 
TAMIL NADU, 662, 2811, 610, 207
TRIPURA ,95 ,197 ,47 ,16
UTTAR PRADESH, 2097, 4381, 228, 2237 
UTTARAKHAND ,144, 509, 15, 73 
WEST BENGAL ,613, 5425, 150 ,451 
A & N ISLANDS ,14, 16, 15, 2 
CHANDIGARH ,23 ,85 ,2 ,3 
D & N HAVELI, 0, 24, 6, 0 
DAMAN & DIU ,4 ,35 ,3, 0 
DELHI ,541 ,71, 41 ,129 
LAKSHADWEEP, 0 ,12, 2 ,0 
PUDUCHERRY ,10 ,165, 9, 2 
